21600001,1,115.32,0.579,24.62,0.752,35.88,0.375,23.04,13.05,10.52,35.98,6.63,3.89,13.65,6.84,38.69,21.14,0.512,113.68,108.78,16.94,105.28,0.53,21.81,0.787,25.57,0.359,22.36,12.51,10.07,31.22,6.86,4.87,13.66,6.89,36.23,22.62,0.507,106.59,110.91,18.6
21600002,1,109.25,0.564,24.9,0.779,26.38,0.378,21.93,12.93,9.85,32.32,6.99,4.98,14.09,6.68,42.98,20.31,0.51,109.09,109.78,20.03,95.03,0.567,19.99,0.736,27.15,0.377,22.23,13.08,8.25,30.71,6.31,4.41,13.16,6.19,38.44,20.17,0.5,107.46,103.18,19.12
21600003,0,120.51,0.602,23.71,0.827,35.12,0.386,32.72,14.25,7.64,35.12,9.69,5.93,19.21,8.27,40.37,21.58,0.49,115.29,102.19,17.22,118.25,0.563,26.46,0.789,21.86,0.401,26.82,13.51,10.16,32.71,7.78,4.95,14.65,6.91,42.23,17.43,0.502,110.41,102.2,16.9
21600004,0,109.05,0.525,21.32,0.777,27.7,0.335,23.18,13.33,9.5,33.03,6.72,4.75,13.93,7.06,39.59,20.74,0.51,103.18,109.0,18.54,106.49,0.528,23.66,0.704,24.4,0.361,24.5,14.14,9.74,32.98,7.64,5.34,14.66,6.79,44.99,19.71,0.494,106.37,105.27,20.0
21600005,1,106.35,0.565,23.79,0.82,25.44,0.379,22.7,13.49,7.02,31.9,8.66,4.71,17.08,7.52,35.17,24.14,0.505,107.54,106.76,17.21,99.17,0.536,15.64,0.821,31.49,0.369,24.9,12.4,6.14,30.94,6.25,2.79,13.32,5.7,33.98,19.9,0.513,103.14,105.11,17.31
21600006,1,113.35,0.576,23.13,0.815,34.66,0.377,24.45,12.11,8.67,33.26,6.89,3.92,14.64,7.65,37.9,20.94,0.5,110.69,107.14,18.88,117.31,0.554,27.34,0.804,32.96,0.352,22.58,17.95,8.06,35.52,7.45,4.88,14.11,8.06,48.05,22.69,0.509,102.57,108.67,21.24
21600007,1,116.96,0.564,27.08,0.821,29.45,0.358,21.15,12.32,8.3,31.06,8.16,3.21,16.73,6.92,33.17,21.53,0.513,111.57,107.41,18.11,98.7,0.523,19.08,0.695,22.5,0.325,18.05,10.51,11.99,36.1,7.08,4.11,14.03,6.31,41.75,18.73,0.513,104.4,105.84,17.71
21600008,0,110.98,0.566,26.2,0.765,17.22,0.365,27.16,14.77,10.59,32.69,8.54,6.07,15.91,7.61,40.52,24.89,0.521,108.39,107.88,20.29,106.84,0.552,25.31,0.81,28.11,0.355,24.19,10.64,8.29,34.61,7.28,4.37,14.26,6.64,37.55,26.02,0.527,107.97,107.1,15.34
21600009,1,103.93,0.544,26.0,0.806,26.39,0.359,25.27,13.3,9.74,32.84,7.2,4.05,14.92,7.14,36.24,23.23,0.506,105.74,105.32,21.5,110.71,0.562,24.68,0.815,23.97,0.36,21.94,13.0,10.87,30.17,6.91,4.16,13.77,6.67,38.55,22.76,0.532,109.44,110.26,17.77
21600010,0,101.23,0.544,21.19,0.761,26.85,0.363,18.46,10.32,7.73,33.26,7.21,5.38,14.75,6.91,41.12,24.83,0.51,104.22,105.87,15.98,115.74,0.559,26.11,0.788,29.32,0.355,28.11,15.82,10.84,34.97,6.31,3.98,12.65,6.02,42.73,20.5,0.531,111.22,110.38,18.7
21600011,0,106.6,0.536,25.86,0.769,29.02,0.343,26.56,19.07,9.36,33.35,8.78,6.67,17.6,7.71,45.23,19.17,0.51,101.0,106.11,20.71,119.2,0.55,28.8,0.763,29.37,0.341,21.97,16.17,13.66,38.03,8.2,4.55,16.28,7.29,45.61,20.27,0.513,107.61,104.93,21.06
