21800001,1,26.6,111.96,0.461,19.61,0.798,0.188,70.36,0.419,34.14,0.365,26.57,12.47,2.131,9.97,34.48,8.43,5.07,20.64,25.5,113.92,0.487,26.72,0.757,0.278,64.07,0.456,31.93,0.367,25.8,14.73,1.752,10.8,37.42,8.14,5.58,22.87
21800002,1,28.5,113.41,0.52,19.54,0.8,0.208,61.29,0.486,32.71,0.389,29.53,13.45,2.196,9.81,34.71,7.54,6.63,21.26,26.0,105.6,0.557,21.82,0.733,0.27,48.29,0.572,32.41,0.356,16.31,10.91,1.495,12.39,29.44,8.68,5.4,21.82
21800003,0,27.4,111.55,0.523,23.26,0.8,0.261,56.84,0.518,32.26,0.354,23.46,12.04,1.95,10.32,34.08,7.38,4.96,18.81,26.6,125.44,0.544,25.6,0.774,0.264,59.63,0.554,37.37,0.352,25.21,14.42,1.748,9.91,42.66,7.55,6.38,19.52
21800004,1,27.3,111.03,0.588,25.52,0.739,0.323,47.51,0.629,31.49,0.35,23.45,13.22,1.774,12.53,34.83,6.67,4.25,22.18,25.6,109.46,0.575,22.83,0.738,0.284,45.52,0.609,34.78,0.353,25.33,14.24,1.779,10.87,33.37,6.52,4.24,22.07
21800005,1,26.5,110.64,0.451,21.83,0.755,0.209,78.16,0.421,26.24,0.362,26.84,13.81,1.944,9.32,34.35,8.89,5.18,19.85,27.9,100.87,0.463,21.52,0.765,0.237,61.93,0.437,28.97,0.346,23.26,13.33,1.745,7.26,30.62,8.46,4.97,23.45
21800006,1,25.9,110.4,0.544,18.89,0.783,0.215,53.9,0.549,34.0,0.358,26.13,13.33,1.961,9.76,35.26,6.72,5.67,17.74,27.8,107.6,0.542,24.26,0.709,0.291,53.44,0.559,29.96,0.342,24.37,13.82,1.763,12.55,34.6,7.49,6.01,20.68
21800007,1,24.3,101.2,0.481,23.71,0.77,0.275,59.12,0.478,27.18,0.325,18.06,12.8,1.411,11.81,34.03,6.85,4.96,22.82,26.0,106.26,0.471,22.51,0.725,0.236,57.4,0.44,38.0,0.345,26.75,16.14,1.657,10.05,30.16,8.12,4.34,22.6
21800008,1,27.4,118.9,0.479,22.97,0.808,0.219,69.77,0.443,35.03,0.367,24.82,13.82,1.796,9.33,35.73,8.01,5.37,20.59,27.2,109.47,0.457,22.49,0.801,0.223,69.88,0.422,30.82,0.358,18.37,12.0,1.53,11.29,34.04,6.09,2.06,18.9
21800009,0,29.1,114.94,0.467,24.89,0.792,0.244,56.09,0.417,45.91,0.352,22.25,12.84,1.733,10.47,32.89,8.71,5.54,22.34,25.8,116.94,0.423,23.69,0.765,0.203,87.07,0.391,29.73,0.345,26.15,13.99,1.869,11.77,38.08,7.71,5.72,20.27
21800010,1,30.1,111.78,0.55,20.96,0.809,0.244,60.83,0.529,25.17,0.4,23.63,11.4,2.072,9.76,37.4,5.55,4.62,17.77,28.6,122.44,0.517,28.47,0.814,0.298,70.99,0.511,24.61,0.355,30.51,13.73,2.222,11.69,32.03,8.44,5.08,18.1
21800011,0,24.8,115.01,0.566,23.3,0.714,0.268,58.11,0.567,28.89,0.375,25.45,13.21,1.927,11.38,34.15,8.05,4.83,21.37,26.5,112.4,0.527,26.83,0.744,0.306,56.1,0.526,31.6,0.352,27.43,15.01,1.828,10.34,36.37,7.95,5.57,20.57
21800012,0,28.6,119.13,0.519,28.81,0.808,0.311,66.41,0.494,26.19,0.389,24.64,13.78,1.789,9.8,36.18,6.31,4.66,21.44,25.1,113.16,0.49,21.19,0.761,0.215,66.54,0.475,32.06,0.348,27.84,12.94,2.152,11.06,34.88,7.69,4.12,18.94
21800013,1,26.1,104.24,0.463,21.08,0.78,0.221,64.22,0.438,31.08,0.342,22.69,14.38,1.578,8.66,30.82,8.04,3.57,21.53,27.2,105.6,0.469,25.66,0.712,0.276,60.67,0.448,32.23,0.338,27.55,15.57,1.769,11.25,36.1,7.29,4.59,20.98
21800014,1,25.5,113.92,0.487,26.72,0.757,0.278,64.07,0.456,31.93,0.367,25.8,14.73,1.752,10.8,37.42,8.14,5.58,22.87,24.7,106.91,0.506,20.55,0.779,0.229,64.01,0.5,25.89,0.347,20.35,14.33,1.421,9.78,34.29,6.72,4.55,20.06
21800015,0,28.2,113.79,0.462,24.74,0.762,0.241,67.79,0.436,35.01,0.342,27.15,14.02,1.936,8.13,28.58,8.84,5.09,21.88,27.8,107.6,0.542,24.26,0.709,0.291,53.44,0.559,29.96,0.342,24.37,13.82,1.763,12.55,34.6,7.49,6.01,20.68
21800016,1,26.3,113.04,0.498,22.57,0.825,0.238,63.77,0.476,31.13,0.363,22.95,12.88,1.781,11.38,35.92,6.58,5.08,20.22,27.1,117.99,0.481,24.07,0.688,0.228,73.45,0.475,31.95,0.33,30.85,16.84,1.832,8.42,36.52,7.78,5.03,19.68
21800017,0,25.5,103.22,0.44,18.91,0.77,0.187,70.33,0.398,30.57,0.357,25.04,12.6,1.986,10.05,35.17,6.47,5.62,19.59,26.8,109.79,0.438,23.62,0.783,0.226,73.28,0.395,31.02,0.36,22.02,11.6,1.899,10.68,34.72,6.81,5.13,19.84
21800018,1,25.7,107.09,0.511,21.65,0.74,0.243,52.11,0.492,36.89,0.358,23.69,13.79,1.718,10.1,32.82,6.31,4.08,22.04,24.6,102.7,0.513,23.75,0.785,0.29,52.18,0.528,29.72,0.325,19.09,13.45,1.419,9.98,33.19,6.62,2.82,21.36
21800019,1,27.8,121.57,0.508,23.83,0.806,0.236,66.07,0.481,34.73,0.372,25.03,13.58,1.844,9.52,36.12,7.94,5.45,20.32,27.0,115.43,0.536,19.67,0.811,0.212,57.47,0.526,35.43,0.368,27.6,12.85,2.148,9.23,35.23,8.83,4.92,19.17
21800020,1,28.0,100.14,0.465,21.88,0.762,0.244,61.41,0.437,28.19,0.351,22.97,13.18,1.743,7.32,31.95,8.7,5.13,23.25,26.7,110.66,0.536,24.09,0.727,0.277,49.14,0.55,37.76,0.345,27.22,16.69,1.631,9.39,29.83,8.14,4.28,22.63
21800021,1,28.6,122.44,0.517,28.47,0.814,0.298,70.99,0.511,24.61,0.355,30.51,13.73,2.222,11.69,32.03,8.44,5.08,18.1,27.8,109.29,0.449,21.7,0.811,0.211,70.3,0.41,32.5,0.354,19.02,12.32,1.543,10.54,33.21,6.34,2.05,18.48
21800022,1,26.2,117.09,0.407,23.65,0.77,0.195,91.58,0.371,29.92,0.345,28.24,14.62,1.932,11.1,36.58,7.35,5.36,20.59,24.8,114.1,0.529,23.12,0.706,0.25,62.88,0.509,29.72,0.38,24.42,13.11,1.863,11.21,34.03,8.01,5.0,22.42
21800023,1,26.7,119.62,0.47,23.72,0.774,0.22,70.21,0.441,37.49,0.349,26.78,14.11,1.898,9.52,40.98,7.23,5.87,19.38,26.5,109.78,0.456,22.27,0.752,0.218,75.99,0.423,26.31,0.367,27.01,13.85,1.949,9.12,34.64,8.94,5.17,20.08
21800024,0,27.0,111.77,0.516,26.73,0.743,0.3,58.3,0.51,30.8,0.352,27.22,14.92,1.825,10.56,36.61,7.94,6.0,20.73,28.3,121.2,0.6,20.83,0.814,0.24,51.32,0.608,35.48,0.392,29.52,14.03,2.104,9.73,34.85,7.43,5.97,21.77
21800025,1,28.6,119.13,0.519,28.81,0.808,0.311,66.41,0.494,26.19,0.389,24.64,13.78,1.789,9.8,36.18,6.31,4.66,21.44,25.9,104.88,0.537,21.53,0.733,0.258,51.11,0.538,32.19,0.357,16.1,10.87,1.481,12.1,29.32,8.61,5.54,22.14
21800026,1,26.8,107.13,0.494,20.73,0.758,0.223,64.07,0.47,28.73,0.366,26.9,13.11,2.051,7.62,31.53,9.26,5.3,19.0,25.3,111.5,0.485,23.58,0.729,0.243,61.83,0.463,35.37,0.349,23.12,14.62,1.581,11.52,34.46,6.49,4.2,21.84
21800027,0,28.2,113.73,0.484,24.71,0.761,0.252,62.52,0.467,35.48,0.343,27.43,14.13,1.94,8.33,28.74,8.8,5.05,22.0,27.8,109.85,0.559,19.28,0.787,0.228,50.14,0.567,34.56,0.365,25.54,13.64,1.872,9.44,34.97,7.49,5.85,21.85
21800028,0,24.3,100.44,0.434,22.46,0.77,0.234,67.29,0.408,28.61,0.33,17.82,12.39,1.439,11.05,33.33,6.86,4.55,22.1,26.2,113.06,0.528,19.11,0.789,0.206,57.94,0.515,34.86,0.367,25.51,12.31,2.072,10.64,34.67,8.47,5.42,21.37
21800029,1,25.8,116.03,0.513,27.7,0.762,0.3,60.63,0.494,31.67,0.367,26.44,14.82,1.784,10.36,37.0,8.23,5.04,21.99,25.1,106.27,0.516,18.34,0.778,0.206,56.78,0.501,32.32,0.362,25.68,12.79,2.008,9.32,35.49,6.54,5.45,18.64
21800030,0,27.8,107.6,0.542,24.26,0.709,0.291,53.44,0.559,29.96,0.342,24.37,13.82,1.763,12.55,34.6,7.49,6.01,20.68,28.1,114.17,0.573,24.43,0.805,0.295,50.05,0.597,32.65,0.357,24.43,12.55,1.947,10.44,33.87,7.33,4.78,19.1
21800031,0,24.9,111.05,0.554,21.46,0.789,0.252,58.04,0.567,27.06,0.351,21.35,14.99,1.424,9.92,33.64,6.79,4.85,20.49,28.9,108.81,0.537,24.17,0.751,0.284,50.7,0.554,34.3,0.342,24.27,13.61,1.783,11.72,33.67,7.07,3.69,21.21
21800032,1,26.8,106.92,0.523,25.56,0.723,0.303,51.75,0.529,32.65,0.343,28.35,15.87,1.786,11.18,36.14,6.99,4.29,19.67,27.7,114.58,0.517,25.27,0.794,0.278,65.12,0.517,25.78,0.345,28.64,13.5,2.121,10.54,31.71,8.18,4.91,19.85
21800033,1,25.2,109.23,0.45,20.25,0.758,0.195,72.27,0.418,31.83,0.348,26.51,12.53,2.116,11.41,34.24,7.55,4.29,19.65,26.5,102.68,0.404,22.24,0.772,0.209,77.8,0.372,28.4,0.327,23.88,14.51,1.645,9.21,31.83,7.8,4.45,22.31
21800034,1,25.7,110.47,0.464,22.34,0.821,0.225,69.23,0.433,30.27,0.356,22.88,13.8,1.658,11.57,36.68,6.59,4.9,20.92,28.9,110.07,0.512,21.59,0.804,0.239,66.2,0.482,24.0,0.398,23.33,11.66,2.0,9.93,37.78,5.69,4.63,18.12
21800035,0,26.8,116.33,0.503,23.67,0.685,0.238,66.86,0.504,32.64,0.333,31.2,16.6,1.879,8.3,36.36,7.83,4.87,18.99,30.6,119.71,0.508,26.34,0.791,0.27,50.62,0.485,46.88,0.355,23.2,13.31,1.743,10.08,33.0,8.75,5.13,21.39
21800036,0,26.1,109.09,0.476,22.85,0.799,0.238,68.27,0.455,27.53,0.35,20.04,12.55,1.597,13.3,36.61,6.74,2.25,19.1,25.9,106.33,0.516,21.75,0.748,0.249,48.17,0.513,39.03,0.346,27.34,16.57,1.65,9.56,30.09,8.34,4.57,22.97
21800037,0,25.5,112.2,0.476,24.87,0.713,0.25,66.73,0.455,32.67,0.347,23.02,13.64,1.687,12.25,34.62,9.28,5.29,22.37,24.7,114.48,0.558,22.71,0.708,0.257,58.77,0.546,29.43,0.389,23.34,12.83,1.82,11.56,34.69,7.99,5.15,22.6
